counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(50)	50	2500	.02000000000000000000	.02000000000000000000
2	(0)	(49)	49	2401	.02040816326530612244	.04040816326530612244
3	(0)	(49)	49	2401	.02040816326530612244	.06081632653061224488
4	(0)	(48)	48	2304	.02083333333333333333	.08164965986394557821
5	(50)	(52)	2	10404	.00019223375624759707	.08184189362019317528
6	(50)	(50)	0	10000	0	.08184189362019317528
7	(0)	(53)	53	2809	.01886792452830188679	.10070981814849506207
8	(50)	(45)	5	9025	.00055401662049861495	.10126383476899367702
9	(50)	(38)	12	7744	.00154958677685950413	.10281342154585318115
10	(50)	(41)	9	8281	.00108682526264943847	.10390024680850261962
11	(0)	(43)	43	1849	.02325581395348837209	.12715606076199099171
12	(50)	(51)	1	10201	.00009802960494069208	.12725409036693168379
13	(0)	(49)	49	2401	.02040816326530612244	.14766225363223780623
14	(0)	(49)	49	2401	.02040816326530612244	.16807041689754392867
15	(0)	(52)	52	2704	.01923076923076923076	.18730118612831315943
16	(0)	(50)	50	2500	.02000000000000000000	.20730118612831315943
17	(50)	(47)	3	9409	.00031884366032522053	.20762002978863837996
18	(0)	(50)	50	2500	.02000000000000000000	.22762002978863837996
19	(50)	(51)	1	10201	.00009802960494069208	.22771805939357907204
20	(0)	(52)	52	2704	.01923076923076923076	.24694882862434830280
21	(0)	(51)	51	2601	.01960784313725490196	.26655667176160320476
22	(50)	(55)	5	11025	.00045351473922902494	.26701018650083222970
23	(0)	(58)	58	3364	.01724137931034482758	.28425156581117705728
24	(50)	(58)	8	11664	.00068587105624142661	.28493743686741848389
25	(0)	(56)	56	3136	.01785714285714285714	.30279457972456134103
26	(0)	(54)	54	2916	.01851851851851851851	.32131309824307985954
27	(50)	(58)	8	11664	.00068587105624142661	.32199896929932128615
28	(0)	(56)	56	3136	.01785714285714285714	.33985611215646414329
29	(50)	(62)	12	12544	.00095663265306122448	.34081274480952536777
30	(0)	(82)	82	6724	.01219512195121951219	.35300786676074487996
31	(50)	(52)	2	10404	.00019223375624759707	.35320010051699247703
32	(50)	(54)	4	10816	.00036982248520710059	.35356992300219957762
33	(0)	(63)	63	3969	.01587301587301587301	.36944293887521545063
34	(50)	(63)	13	12769	.00101809068838593468	.37046102956360138531
35	(0)	(58)	58	3364	.01724137931034482758	.38770240887394621289
36	(0)	(54)	54	2916	.01851851851851851851	.40622092739246473140
37	(0)	(63)	63	3969	.01587301587301587301	.42209394326548060441
38	(50)	(58)	8	11664	.00068587105624142661	.42277981432172203102
39	(50)	(68)	18	13924	.00129273197357081298	.42407254629529284400
40	(0)	(71)	71	5041	.01408450704225352112	.43815705333754636512
41	(0)	(74)	74	5476	.01351351351351351351	.45167056685105987863
42	(0)	(66)	66	4356	.01515151515151515151	.46682208200257503014
43	(0)	(59)	59	3481	.01694915254237288135	.48377123454494791149
44	(50)	(47)	3	9409	.00031884366032522053	.48409007820527313202
45	(0)	(42)	42	1764	.02380952380952380952	.50789960201479694154
46	(50)	(45)	5	9025	.00055401662049861495	.50845361863529555649
47	(50)	(43)	7	8649	.00080934212047635564	.50926296075577191213
48	(0)	(57)	57	3249	.01754385964912280701	.52680682040489471914
49	(0)	(57)	57	3249	.01754385964912280701	.54435068005401752615
50	(50)	(54)	4	10816	.00036982248520710059	.54472050253922462674
