counter	predict	actual	diff	sqsum	frac	sum
1	(90,0,11),(11,90,0),(91,0,10),(90,0,10),(10,91,0),(10,90,0),(11,91,0),(91,0,11),(0,11,91),(91,0,10),(0,11,91),(90,0,10),(11,90,0),(91,0,10),(0,10,90),(0,11,91),(0,10,91),(90,0,11),(90,0,11),(91,0,10),(90,0,10),(10,91,0),(10,90,0),(10,90,0),(0,11,91),(0,11,90),(91,0,10),(90,0,10),(90,0,10),(10,90,0)	(99,0,1),(98,0,1),(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1)	3473	863683	.00402115127888357186	.00402115127888357186
2	(10,91,0),(91,0,11),(0,10,91),(90,0,10),(90,0,11),(91,0,10),(91,0,10),(91,0,11),(0,11,91),(91,0,10),(90,0,11),(10,91,0),(0,10,91),(0,10,90),(0,10,90),(11,91,0),(11,90,0),(10,91,0),(90,0,11),(91,0,10),(10,90,0),(91,0,11),(90,0,10),(91,0,10),(90,0,11),(91,0,10),(91,0,10),(0,11,90),(10,91,0),(90,0,10)	(98,0,1),(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3)	3124	898784	.00347580731299177555	.00749695859187534741
3	(90,0,11),(91,0,11),(91,0,10),(0,10,90),(90,0,11),(10,90,0),(91,0,10),(91,0,11),(91,0,11),(11,90,0),(90,0,11),(90,0,10),(91,0,10),(91,0,10),(91,0,10),(0,11,91),(91,0,11),(90,0,11),(90,0,11),(91,0,10),(10,90,0),(91,0,11),(90,0,10),(91,0,10),(0,11,91),(91,0,10),(91,0,10),(90,0,10),(0,11,90),(90,0,10)	(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3)	2046	1001260	.00204342528414198110	.00954038387601732851
4	(90,0,11),(91,0,11),(91,0,10),(0,10,90),(90,0,11),(91,0,10),(91,0,10),(91,0,11),(91,0,11),(91,0,10),(0,11,91),(90,0,10),(91,0,10),(10,90,0),(10,90,0),(11,91,0),(91,0,11),(10,91,0),(90,0,11),(91,0,10),(90,0,10),(91,0,11),(90,0,10),(91,0,10),(90,0,11),(91,0,10),(91,0,10),(90,0,10),(0,11,90),(0,10,90)	(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4)	2270	982490	.00231045608606703376	.01185083996208436227
5	(90,0,11),(91,0,11),(91,0,10),(90,0,10),(90,0,11),(91,0,10),(91,0,10),(10,91,0),(91,0,11),(91,0,10),(90,0,11),(90,0,10),(91,0,10),(91,0,10),(91,0,10),(0,11,91),(91,0,11),(90,0,11),(90,0,11),(91,0,10),(0,10,91),(0,10,91),(10,90,0),(91,0,10),(90,0,11),(0,11,90),(91,0,10),(10,91,0),(90,0,10),(10,90,0)	(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12)	1967	1010243	.00194705630229558630	.01379789626437994857
6	(10,91,0),(91,0,11),(91,0,10),(0,10,90),(10,91,0),(91,0,10),(0,10,91),(10,91,0),(0,11,91),(11,90,0),(10,91,0),(0,11,91),(91,0,10),(91,0,10),(0,10,90),(0,11,91),(91,0,11),(90,0,11),(90,0,11),(91,0,10),(10,90,0),(0,10,91),(90,0,10),(0,10,91),(90,0,11),(91,0,10),(0,10,90),(90,0,10),(90,0,10),(90,0,10)	(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41)	3212	892156	.00360026721784082604	.01739816348222077461
7	(90,0,11),(91,0,11),(0,10,91),(0,10,90),(90,0,11),(0,10,91),(91,0,10),(91,0,11),(0,11,91),(0,10,91),(10,91,0),(90,0,10),(91,0,10),(91,0,10),(91,0,10),(91,0,10),(91,0,11),(10,91,0),(90,0,11),(91,0,10),(90,0,10),(91,0,11),(90,0,10),(91,0,10),(0,11,91),(10,91,0),(91,0,10),(0,11,90),(90,0,10),(90,0,10)	(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63)	2679	954567	.00280650808167472791	.02020467156389550252
8	(0,11,91),(91,0,11),(91,0,10),(10,91,0),(0,11,91),(91,0,10),(91,0,10),(0,11,91),(91,0,11),(91,0,10),(90,0,11),(90,0,10),(91,0,10),(10,90,0),(0,10,90),(91,0,10),(11,90,0),(90,0,11),(90,0,11),(0,10,91),(90,0,10),(0,10,91),(90,0,10),(91,0,10),(0,11,91),(0,11,90),(10,90,0),(0,11,90),(0,11,90),(90,0,10)	(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77)	3144	921248	.00341276181875021709	.02361743338264571961
9	(0,11,91),(91,0,11),(10,90,0),(90,0,10),(0,11,91),(10,90,0),(11,91,0),(10,91,0),(91,0,11),(0,10,91),(0,11,91),(90,0,10),(0,10,91),(91,0,10),(0,10,90),(91,0,10),(11,90,0),(90,0,11),(90,0,11),(0,10,91),(90,0,10),(91,0,11),(90,0,10),(91,0,10),(10,91,0),(91,0,10),(91,0,10),(90,0,10),(90,0,10),(10,90,0)	(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80)	3096	937414	.00330270296795226015	.02692013635059797976
10	(0,11,91),(0,10,91),(0,10,91),(90,0,10),(0,11,91),(91,0,10),(91,0,10),(91,0,11),(91,0,11),(91,0,10),(0,11,91),(10,91,0),(11,90,0),(91,0,10),(91,0,10),(91,0,10),(0,10,91),(0,11,91),(90,0,11),(11,90,0),(10,90,0),(91,0,11),(10,90,0),(91,0,10),(0,11,91),(91,0,10),(91,0,10),(90,0,10),(90,0,10),(0,10,90)	(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82)	3216	939278	.00342390644729249487	.03034404279789047463
