exp,smape,duration
201_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps1, 0.827%, 181
202_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps4, 0.305%, 242
203_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps8, 0.311%, 339
204_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps1, 0.413%, 260
205_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps4, 0.338%, 338
206_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps8, 0.345%, 457
207_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps1, 0.427%, 190
208_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps4, 0.460%, 287
209_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps8, 0.737%, 569
210_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps1, 0.626%, 274
211_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps4, 0.656%, 385
212_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps8, 0.998%, 687
213_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 7.685%, 272
214_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps4, 9.081%, 677
215_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps8, 8.335%, 1269
216_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps1, 1.287%, 353
217_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps4, 1.143%, 572
218_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps8, 0.958%, 883
219_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd1-ps1, 0.859%, 179
220_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd1-ps1, 0.417%, 260
221_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd1-ps1, 0.427%, 190
222_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd1-ps1, 0.631%, 273
223_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd1-ps1, 4.079%, 270
224_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd2-ps1, 7.685%, 269
225_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd1-ps1, 0.540%, 351
226_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd2-ps1, 1.288%, 352
228_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 6.537%, 2449
229_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps3, 4.488%, 4565
230_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps6, 1.826%, 9222
231_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 1.824%, 15558
232_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps1, 0.841%, 1510
233_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps3, 0.815%, 2625
234_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps6, 0.769%, 5138
235_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps1, 0.731%, 8288
236_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 9.421%, 847
237_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps4, 7.382%, 2605
238_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps8, 5.375%, 5053
239_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 2.327%, 10017
240_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps3, 1.989%, 19391
241_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps6, 2.129%, 40322
242_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1,,
