exp,smape,duration
301_hpc-single-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 5.777%, 556
302_hpc-single-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 5.870%, 556
303_hpc-single-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 5.792%, 555
304_hpc-single-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 5.784%, 556
305_hpc-single-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 5.801%, 556
306_uninet-single-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 0.403%, 3747
307_uninet-single-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 0.377%, 3744
308_uninet-single-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 0.391%, 3746
309_uninet-single-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 0.374%, 3744
310_uninet-single-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 0.409%, 3747
311_hpc-multi-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 0.394%, 299
312_hpc-multi-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 0.664%, 447
313_hpc-multi-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 0.713%, 526
314_hpc-multi-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 1.414%, 1174
315_hpc-multi-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 1.741%, 3921
316_hpc-single-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 5.861%, 165
317_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 5.859%, 165
318_hpc-single-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 5.859%, 165
319_hpc-single-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 5.864%, 165
320_hpc-single-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 5.857%, 166
321_uninet-single-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 0.455%, 256
322_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.459%, 257
323_uninet-single-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 0.464%, 256
324_uninet-single-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 0.462%, 257
325_uninet-single-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 0.461%, 257
326_hpc-multi-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 0.409%, 194
327_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.458%, 200
328_hpc-multi-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 0.465%, 204
329_hpc-multi-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 0.598%, 219
330_hpc-multi-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 0.636%, 241
331_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps2, 7.616%, 184
332_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps4, 8.523%, 219
333_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps8, 9.208%, 287
334_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 8.932%, 428
335_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 8.604%, 674
336_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 7.237%, 1203
337_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 5.722%, 1907
338_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps2, 0.326%, 282
339_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps4, 0.325%, 320
340_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps8, 0.337%, 396
341_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.357%, 558
342_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 0.367%, 839
343_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 0.371%, 1451
344_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.359%, 2271
345_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps2, 0.342%, 230
346_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps4, 0.321%, 279
347_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps8, 0.312%, 379
348_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.314%, 574
349_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 0.317%, 929
350_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 0.328%, 1685
351_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.341%, 2695
