counter	predict	actual	diff	sqsum	frac	sum
1	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(98),(94),(96),(98),(99),(99),(99)	57	283901	.00020077421354627141	.00020077421354627141
2	(90),(91),(91),(91),(90),(91),(91),(90)	(98),(94),(96),(98),(99),(99),(99),(99)	57	283901	.00020077421354627141	.00040154842709254282
3	(90),(91),(91),(91),(90),(91),(91),(90)	(94),(96),(98),(99),(99),(99),(99),(99)	58	284288	.00020401846015308419	.00060556688724562701
4	(90),(91),(91),(91),(90),(91),(91),(90)	(96),(98),(99),(99),(99),(99),(99),(99)	63	286159	.00022015732512344535	.00082572421236907236
5	(90),(91),(91),(91),(90),(91),(91),(90)	(98),(99),(99),(99),(99),(99),(99),(99)	66	287286	.00022973622104801487	.00105546043341708723
6	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(99),(99),(99),(99),(99),(99),(99)	67	287663	.00023291142760799963	.00128837186102508686
7	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(99),(99),(99),(99),(99),(99),(99)	67	287663	.00023291142760799963	.00152128328863308649
8	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(99),(99),(99),(99),(99),(99),(98)	66	287286	.00022973622104801487	.00175101950968110136
9	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(99),(99),(99),(99),(99),(98),(97)	64	286532	.00022336074155766197	.00197438025123876333
10	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(99),(99),(99),(99),(98),(97),(95)	60	285032	.00021050268040079710	.00218488293163956043
11	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(99),(99),(99),(98),(97),(95),(96)	57	283901	.00020077421354627141	.00238565714518583184
12	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(99),(99),(98),(97),(95),(96),(96)	54	282772	.00019096657377675300	.00257662371896258484
13	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(99),(98),(97),(95),(96),(96),(96)	51	281645	.00018107901791262049	.00275770273687520533
14	(90),(91),(91),(91),(90),(91),(91),(90)	(99),(98),(97),(95),(96),(96),(96),(96)	48	280512	.00017111567419575633	.00292881841107096166
15	(90),(91),(91),(91),(90),(91),(91),(90)	(98),(97),(95),(96),(96),(96),(96),(95)	44	279012	.00015769931042392441	.00308651772149488607
16	(90),(91),(91),(91),(90),(91),(91),(90)	(97),(95),(96),(96),(96),(96),(95),(94)	40	277520	.00014413375612568463	.00323065147762057070
17	(90),(91),(91),(91),(90),(91),(91),(90)	(95),(96),(96),(96),(96),(95),(94),(95)	38	276774	.00013729613330731932	.00336794761092789002
18	(90),(91),(91),(91),(90),(91),(91),(90)	(96),(96),(96),(96),(95),(94),(95),(97)	40	277518	.00014413479486015321	.00351208240578804323
19	(90),(91),(91),(91),(90),(91),(91),(90)	(96),(96),(96),(95),(94),(95),(97),(99)	43	278647	.00015431711089658241	.00366639951668462564
20	(90),(91),(91),(91),(90),(91),(90),(90)	(96),(96),(95),(94),(95),(97),(99),(99)	47	279397	.00016821941538384449	.00383461893206847013
21	(90),(91),(91),(91),(90),(91),(90),(90)	(96),(95),(94),(95),(97),(99),(99),(99)	50	280524	.00017823786913062696	.00401285680119909709
22	(90),(91),(91),(91),(90),(91),(90),(90)	(95),(94),(95),(97),(99),(99),(99),(99)	53	281653	.00018817481084881041	.00420103161204790750
23	(90),(91),(91),(91),(90),(91),(90),(90)	(94),(95),(97),(99),(99),(99),(99),(98)	56	282782	.00019803240658882107	.00439906401863672857
24	(90),(91),(91),(91),(90),(91),(90),(90)	(95),(97),(99),(99),(99),(99),(98),(97)	59	283903	.00020781745877993540	.00460688147741666397
25	(90),(91),(91),(91),(90),(91),(90),(90)	(97),(99),(99),(99),(99),(98),(97),(97)	61	284649	.00021429901387322632	.00482118049128989029
26	(90),(91),(91),(91),(90),(91),(90),(90)	(99),(99),(99),(99),(98),(97),(97),(97)	61	284647	.00021430051959093192	.00503548101088082221
27	(90),(91),(91),(91),(90),(91),(90),(90)	(99),(99),(99),(98),(97),(97),(97),(97)	59	283893	.00020782477905408023	.00524330578993490244
28	(90),(91),(91),(91),(90),(91),(90),(90)	(99),(99),(98),(97),(97),(97),(97),(96)	56	282764	.00019804501280219547	.00544135080273709791
29	(90),(91),(91),(91),(90),(91),(90),(90)	(99),(98),(97),(97),(97),(97),(96),(96)	53	281635	.00018818683757345500	.00562953764031055291
30	(90),(91),(91),(91),(90),(91),(90),(90)	(98),(97),(97),(97),(97),(96),(96),(97)	51	280879	.00018157284809473118	.00581111048840528409
31	(90),(91),(91),(91),(90),(91),(90),(90)	(97),(97),(97),(97),(96),(96),(97),(96)	49	280131	.00017491816328789030	.00598602865169317439
32	(90),(91),(91),(91),(90),(91),(90),(90)	(97),(97),(97),(96),(96),(97),(96),(96)	48	279758	.00017157686286004332	.00615760551455321771
33	(90),(91),(91),(91),(90),(91),(90),(90)	(97),(97),(96),(96),(97),(96),(96),(96)	47	279381	.00016822904921952459	.00632583456377274230
34	(90),(91),(91),(91),(90),(91),(90),(90)	(97),(96),(96),(97),(96),(96),(96),(97)	47	279381	.00016822904921952459	.00649406361299226689
35	(90),(91),(91),(91),(90),(91),(90),(90)	(96),(96),(97),(96),(96),(96),(97),(98)	48	279756	.00017157808947797366	.00666564170247024055
36	(90),(91),(91),(91),(90),(91),(90),(90)	(96),(97),(96),(96),(96),(97),(98),(99)	51	280883	.00018157026235122809	.00684721196482146864
37	(90),(91),(91),(91),(90),(91),(90),(90)	(97),(96),(96),(96),(97),(98),(99),(99)	54	282008	.00019148392953391393	.00703869589435538257
38	(90),(91),(91),(91),(90),(91),(90),(90)	(96),(96),(96),(97),(98),(99),(99),(99)	56	282764	.00019804501280219547	.00723674090715757804
39	(90),(91),(91),(91),(90),(91),(90),(90)	(96),(96),(97),(98),(99),(99),(99),(99)	59	283893	.00020782477905408023	.00744456568621165827
40	(90),(91),(91),(91),(90),(91),(90),(90)	(96),(97),(98),(99),(99),(99),(99),(98)	61	284647	.00021430051959093192	.00765886620580259019
41	(90),(91),(91),(91),(90),(91),(90),(90)	(97),(98),(99),(99),(99),(99),(98),(98)	63	285399	.00022074359055217432	.00787960979635476451
42	(90),(91),(91),(91),(90),(91),(90),(90)	(98),(99),(99),(99),(99),(98),(98),(96)	62	285026	.00021752401535298534	.00809713381170774985
43	(90),(91),(91),(91),(90),(91),(90),(90)	(99),(99),(99),(99),(98),(98),(96),(97)	61	284651	.00021429750817667951	.00831143131988442936
44	(90),(91),(91),(91),(90),(91),(90),(90)	(99),(99),(99),(98),(98),(96),(97),(97)	59	283893	.00020782477905408023	.00851925609893850959
45	(90),(91),(91),(91),(90),(91),(90),(90)	(99),(99),(98),(98),(96),(97),(97),(96)	56	282768	.00019804221128274769	.00871729831022125728
46	(90),(91),(91),(91),(90),(91),(90),(90)	(99),(98),(98),(96),(97),(97),(96),(96)	53	281637	.00018818550119480039	.00890548381141605767
47	(90),(91),(91),(91),(90),(91),(90),(90)	(98),(98),(96),(97),(97),(96),(96),(96)	50	280508	.00017824803570664651	.00908373184712270418
48	(90),(91),(91),(91),(90),(91),(90),(90)	(98),(96),(97),(97),(96),(96),(96),(95)	47	279387	.00016822543640183687	.00925195728352454105
49	(90),(91),(91),(91),(90),(91),(90),(90)	(96),(97),(97),(96),(96),(96),(95),(97)	46	279012	.00016486746089773916	.00941682474442228021
50	(90),(90),(90),(91),(90),(91),(90),(90)	(97),(97),(96),(96),(96),(95),(97),(97)	49	278633	.00017585856664501333	.00959268331106729354
51	(90),(90),(90),(91),(90),(91),(90),(90)	(97),(96),(96),(96),(95),(97),(97),(98)	50	279012	.00017920376184536865	.00977188707291266219
52	(90),(90),(90),(91),(90),(91),(90),(90)	(96),(96),(96),(95),(97),(97),(98),(99)	52	279762	.00018587227714986309	.00995775935006252528
53	(90),(90),(90),(91),(90),(91),(90),(90)	(96),(96),(95),(97),(97),(98),(99),(99)	55	280893	.00019580409622169295	.01015356344628421823
54	(90),(90),(90),(91),(90),(91),(90),(90)	(96),(95),(97),(97),(98),(99),(99),(99)	58	282020	.00020565917310829019	.01035922261939250842
55	(90),(90),(90),(91),(90),(91),(90),(90)	(95),(97),(97),(98),(99),(99),(99),(99)	61	283147	.00021543579836621966	.01057465841775872808
56	(90),(90),(90),(91),(90),(91),(90),(90)	(97),(97),(98),(99),(99),(99),(99),(98)	64	284268	.00022513965694344773	.01079979807470217581
57	(90),(90),(90),(91),(90),(91),(90),(90)	(97),(98),(99),(99),(99),(99),(98),(98)	65	284643	.00022835622165308825	.01102815429635526406
58	(90),(90),(90),(91),(90),(91),(90),(90)	(98),(99),(99),(99),(99),(98),(98),(97)	65	284641	.00022835782617402271	.01125651212252928677
59	(90),(90),(90),(91),(90),(91),(90),(90)	(99),(99),(99),(99),(98),(98),(97),(96)	63	283893	.00022191459458317041	.01147842671711245718
60	(90),(90),(90),(91),(90),(91),(90),(90)	(99),(99),(99),(98),(98),(97),(96),(96)	60	282764	.00021219108514520943	.01169061780225766661
61	(90),(90),(90),(91),(90),(91),(90),(90)	(99),(99),(98),(98),(97),(96),(96),(96)	57	281637	.00020238818053025703	.01189300598278792364
62	(90),(90),(90),(91),(90),(91),(90),(90)	(99),(98),(98),(97),(96),(96),(96),(96)	54	280510	.00019250650600691597	.01208551248879483961
63	(90),(90),(90),(91),(90),(91),(90),(90)	(98),(98),(97),(96),(96),(96),(96),(96)	51	279383	.00018254510832799418	.01226805759712283379
64	(90),(90),(90),(91),(90),(91),(90),(90)	(98),(97),(96),(96),(96),(96),(96),(96)	49	278635	.00017585730435874890	.01244391490148158269
65	(90),(90),(90),(91),(90),(91),(90),(90)	(97),(96),(96),(96),(96),(96),(96),(97)	48	278260	.00017250053906418457	.01261641544054576726
66	(90),(90),(90),(91),(90),(91),(90),(90)	(96),(96),(96),(96),(96),(96),(97),(97)	48	278260	.00017250053906418457	.01278891597960995183
67	(90),(90),(90),(91),(90),(91),(90),(90)	(96),(96),(96),(96),(96),(97),(97),(99)	51	279387	.00018254249481901448	.01297145847442896631
68	(90),(90),(90),(91),(90),(91),(90),(90)	(96),(96),(96),(96),(97),(97),(99),(99)	54	280512	.00019250513347022587	.01316396360789919218
69	(90),(90),(90),(91),(90),(91),(90),(90)	(96),(96),(96),(97),(97),(99),(99),(99)	57	281643	.00020238386894046718	.01336634747683965936
70	(90),(90),(90),(91),(90),(91),(90),(90)	(96),(96),(97),(97),(99),(99),(99),(99)	60	282768	.00021218808351722967	.01357853556035688903
71	(90),(90),(90),(91),(90),(90),(90),(90)	(96),(97),(97),(99),(99),(99),(99),(99)	64	283518	.00022573522668754717	.01380427078704443620
72	(90),(90),(90),(91),(90),(90),(90),(90)	(97),(97),(99),(99),(99),(99),(99),(98)	66	284266	.00023217690473007675	.01403644769177451295
73	(90),(90),(90),(91),(90),(90),(90),(90)	(97),(99),(99),(99),(99),(99),(98),(98)	67	284641	.00023538422082553110	.01427183191260004405
74	(90),(90),(90),(91),(90),(90),(90),(90)	(99),(99),(99),(99),(99),(98),(98),(97)	67	284641	.00023538422082553110	.01450721613342557515
