exp,smape,duration
001_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.414%, 150
002_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.824%, 150
003_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.718%, 150
004_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.855%, 149
005_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.378%, 150
006_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.895%, 150
007_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.073%, 153
008_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.259%, 158
009_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.923%, 151
010_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.748%, 152
011_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.758%, 154
012_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.051%, 154
013_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.386%, 154
014_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.195%, 156
015_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.002%, 219
016_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.372%, 220
017_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.287%, 219
018_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.289%, 220
019_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.325%, 219
020_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.293%, 221
021_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.299%, 223
022_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.315%, 229
023_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.363%, 221
024_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.366%, 222
025_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.355%, 223
026_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.319%, 222
027_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.327%, 225
028_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.323%, 229
029_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.076%, 174
030_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.676%, 174
031_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.541%, 173
032_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.447%, 175
033_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.419%, 173
034_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 4.853%, 175
035_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 2.797%, 176
036_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.770%, 180
037_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.560%, 174
038_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.536%, 175
039_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.771%, 175
040_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.624%, 174
041_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.304%, 176
042_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.299%, 178
043_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.843%, 246
044_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.318%, 248
045_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.301%, 248
046_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.307%, 247
047_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.327%, 248
048_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.304%, 248
049_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.317%, 251
050_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.326%, 255
051_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.329%, 247
052_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.330%, 248
053_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.332%, 250
054_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.348%, 249
055_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.346%, 251
056_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.341%, 254
057_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.628%, 216
058_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.408%, 216
059_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.311%, 216
060_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.377%, 217
061_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 5.836%, 215
062_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.861%, 217
063_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.242%, 218
064_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.235%, 221
065_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 4.050%, 216
066_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 3.866%, 216
067_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 3.760%, 215
068_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 5.627%, 217
069_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 4.926%, 216
070_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 5.637%, 219
071_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.641%, 300
072_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.327%, 299
073_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.313%, 300
074_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.326%, 300
075_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.340%, 299
076_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.322%, 300
077_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.337%, 302
078_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.341%, 307
079_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.335%, 300
080_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.340%, 301
081_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.336%, 301
082_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.362%, 302
083_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.370%, 302
084_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.363%, 307
085_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.103%, 300
086_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.142%, 298
087_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.976%, 298
088_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.800%, 300
089_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.388%, 300
090_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.531%, 299
091_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 1.487%, 301
092_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.893%, 303
093_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 3.023%, 299
094_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 2.949%, 300
095_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 2.798%, 299
096_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 4.378%, 300
097_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 4.411%, 300
