exp,smape,avgdiff,duration
201_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps1, 0.741%,31.40016501650165016501, 180
202_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps4, 0.305%,137.11056105610561056105, 244
203_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps8, 0.311%,326.17986798679867986798, 338
204_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps1, 0.423%,20.23809523809523809523, 261
205_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps4, 0.336%,87.31779100529100529100, 341
206_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps8, 0.344%,198.03273809523809523809, 456
207_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps1, 0.427%,35.99009900990099009900, 191
208_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps4, 0.460%,305.37376237623762376237, 289
209_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps8, 0.738%,1313.65305280528052805280, 571
210_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps1, 0.626%,21.24603174603174603174, 276
211_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps4, 0.656%,148.67228835978835978835, 389
212_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps8, 0.998%,574.20304232804232804232, 687
213_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 7.685%,61.74009900990099009900, 273
214_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps4, 9.081%,1275.34777227722772277227, 696
215_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps8, 8.335%,2950.21245874587458745874, 1280
216_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps1, 1.287%,17.94973544973544973544, 358
217_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps4, 1.143%,292.80390211640211640211, 576
218_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps8, 0.958%,674.96858465608465608465, 882
219_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd1-ps1, 0.861%,31.27887788778877887788, 179
220_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd1-ps1, 0.409%,20.40873015873015873015, 259
221_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd1-ps1, 0.433%,36.17161716171617161716, 190
222_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd1-ps1, 0.630%,21.35317460317460317460, 270
223_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd1-ps1, 4.160%,20.98597359735973597359, 270
224_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd2-ps1, 7.685%,61.74009900990099009900, 270
225_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd1-ps1, 0.549%,19.51455026455026455026, 351
226_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd2-ps1, 1.287%,17.95171957671957671957, 361
228_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 6.537%,6215.55858085808580858085, 2471
229_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps3, 4.488%,11658.66625412541254125412, 4550
230_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps6, 1.826%,22233.52475247524752475247, 9216
231_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 1.824%,34069.39480198019801980198, 15550
232_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps1, 0.842%,1435.79497354497354497354, 1520
233_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps3, 0.815%,2765.41534391534391534391, 2646
234_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps6, 0.769%,5573.40376984126984126984, 5169
235_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps1, 0.731%,9302.98908730158730158730, 8339
236_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 9.421%,851.18399339933993399339, 845
237_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps4, 7.382%,4593.33498349834983498349, 2627
238_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps8, 5.376%,9360.01031353135313531353, 5067
239_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 2.328%,18158.38613861386138613861, 10039
240_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps3, 1.989%,31273.89150165016501650165, 19224
241_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps6, 2.129%,52765.30569306930693069306, 40202
242_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1,,,
