counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(73)	73	5329	.01369863013698630136	.01369863013698630136
2	(0)	(93)	93	8649	.01075268817204301075	.02445131830902931211
3	(0)	(98)	98	9604	.01020408163265306122	.03465539994168237333
4	(0)	(99)	99	9801	.01010101010101010101	.04475641004269247434
5	(0)	(99)	99	9801	.01010101010101010101	.05485742014370257535
6	(0)	(99)	99	9801	.01010101010101010101	.06495843024471267636
7	(0)	(99)	99	9801	.01010101010101010101	.07505944034572277737
8	(0)	(99)	99	9801	.01010101010101010101	.08516045044673287838
9	(0)	(99)	99	9801	.01010101010101010101	.09526146054774297939
10	(0)	(99)	99	9801	.01010101010101010101	.10536247064875308040
11	(0)	(99)	99	9801	.01010101010101010101	.11546348074976318141
12	(0)	(98)	98	9604	.01020408163265306122	.12566756238241624263
13	(0)	(94)	94	8836	.01063829787234042553	.13630586025475666816
14	(0)	(96)	96	9216	.01041666666666666666	.14672252692142333482
15	(0)	(98)	98	9604	.01020408163265306122	.15692660855407639604
16	(0)	(99)	99	9801	.01010101010101010101	.16702761865508649705
17	(0)	(99)	99	9801	.01010101010101010101	.17712862875609659806
18	(0)	(99)	99	9801	.01010101010101010101	.18722963885710669907
19	(0)	(99)	99	9801	.01010101010101010101	.19733064895811680008
20	(0)	(99)	99	9801	.01010101010101010101	.20743165905912690109
21	(0)	(99)	99	9801	.01010101010101010101	.21753266916013700210
22	(0)	(99)	99	9801	.01010101010101010101	.22763367926114710311
23	(0)	(99)	99	9801	.01010101010101010101	.23773468936215720412
24	(0)	(99)	99	9801	.01010101010101010101	.24783569946316730513
25	(0)	(98)	98	9604	.01020408163265306122	.25803978109582036635
26	(0)	(97)	97	9409	.01030927835051546391	.26834905944633583026
27	(0)	(95)	95	9025	.01052631578947368421	.27887537523580951447
28	(0)	(96)	96	9216	.01041666666666666666	.28929204190247618113
29	(0)	(96)	96	9216	.01041666666666666666	.29970870856914284779
30	(0)	(96)	96	9216	.01041666666666666666	.31012537523580951445
31	(0)	(96)	96	9216	.01041666666666666666	.32054204190247618111
32	(0)	(95)	95	9025	.01052631578947368421	.33106835769194986532
33	(0)	(94)	94	8836	.01063829787234042553	.34170665556429029085
34	(0)	(95)	95	9025	.01052631578947368421	.35223297135376397506
35	(0)	(97)	97	9409	.01030927835051546391	.36254224970427943897
36	(0)	(99)	99	9801	.01010101010101010101	.37264325980528953998
37	(0)	(99)	99	9801	.01010101010101010101	.38274426990629964099
38	(0)	(99)	99	9801	.01010101010101010101	.39284528000730974200
39	(0)	(99)	99	9801	.01010101010101010101	.40294629010831984301
40	(0)	(98)	98	9604	.01020408163265306122	.41315037174097290423
41	(0)	(97)	97	9409	.01030927835051546391	.42345965009148836814
42	(0)	(97)	97	9409	.01030927835051546391	.43376892844200383205
43	(0)	(97)	97	9409	.01030927835051546391	.44407820679251929596
44	(0)	(97)	97	9409	.01030927835051546391	.45438748514303475987
45	(0)	(96)	96	9216	.01041666666666666666	.46480415180970142653
46	(0)	(96)	96	9216	.01041666666666666666	.47522081847636809319
47	(0)	(97)	97	9409	.01030927835051546391	.48553009682688355710
48	(0)	(96)	96	9216	.01041666666666666666	.49594676349355022376
49	(0)	(96)	96	9216	.01041666666666666666	.50636343016021689042
50	(0)	(96)	96	9216	.01041666666666666666	.51678009682688355708
51	(0)	(97)	97	9409	.01030927835051546391	.52708937517739902099
52	(0)	(98)	98	9604	.01020408163265306122	.53729345681005208221
53	(0)	(99)	99	9801	.01010101010101010101	.54739446691106218322
54	(0)	(99)	99	9801	.01010101010101010101	.55749547701207228423
55	(0)	(99)	99	9801	.01010101010101010101	.56759648711308238524
56	(0)	(99)	99	9801	.01010101010101010101	.57769749721409248625
57	(0)	(98)	98	9604	.01020408163265306122	.58790157884674554747
58	(0)	(98)	98	9604	.01020408163265306122	.59810566047939860869
59	(0)	(96)	96	9216	.01041666666666666666	.60852232714606527535
60	(0)	(97)	97	9409	.01030927835051546391	.61883160549658073926
61	(0)	(97)	97	9409	.01030927835051546391	.62914088384709620317
62	(0)	(96)	96	9216	.01041666666666666666	.63955755051376286983
63	(0)	(96)	96	9216	.01041666666666666666	.64997421718042953649
64	(0)	(96)	96	9216	.01041666666666666666	.66039088384709620315
65	(0)	(95)	95	9025	.01052631578947368421	.67091719963656988736
66	(0)	(97)	97	9409	.01030927835051546391	.68122647798708535127
67	(0)	(97)	97	9409	.01030927835051546391	.69153575633760081518
68	(0)	(98)	98	9604	.01020408163265306122	.70173983797025387640
69	(0)	(99)	99	9801	.01010101010101010101	.71184084807126397741
70	(0)	(99)	99	9801	.01010101010101010101	.72194185817227407842
71	(0)	(99)	99	9801	.01010101010101010101	.73204286827328417943
72	(0)	(99)	99	9801	.01010101010101010101	.74214387837429428044
73	(0)	(98)	98	9604	.01020408163265306122	.75234796000694734166
74	(0)	(98)	98	9604	.01020408163265306122	.76255204163960040288
75	(0)	(97)	97	9409	.01030927835051546391	.77286131999011586679
76	(0)	(96)	96	9216	.01041666666666666666	.78327798665678253345
77	(0)	(96)	96	9216	.01041666666666666666	.79369465332344920011
78	(0)	(96)	96	9216	.01041666666666666666	.80411131999011586677
79	(0)	(96)	96	9216	.01041666666666666666	.81452798665678253343
80	(0)	(96)	96	9216	.01041666666666666666	.82494465332344920009
81	(0)	(96)	96	9216	.01041666666666666666	.83536131999011586675
82	(0)	(97)	97	9409	.01030927835051546391	.84567059834063133066
83	(0)	(97)	97	9409	.01030927835051546391	.85597987669114679457
84	(0)	(99)	99	9801	.01010101010101010101	.86608088679215689558
85	(0)	(99)	99	9801	.01010101010101010101	.87618189689316699659
86	(0)	(99)	99	9801	.01010101010101010101	.88628290699417709760
87	(0)	(99)	99	9801	.01010101010101010101	.89638391709518719861
88	(0)	(99)	99	9801	.01010101010101010101	.90648492719619729962
89	(0)	(98)	98	9604	.01020408163265306122	.91668900882885036084
90	(0)	(98)	98	9604	.01020408163265306122	.92689309046150342206
91	(0)	(97)	97	9409	.01030927835051546391	.93720236881201888597
92	(0)	(97)	97	9409	.01030927835051546391	.94751164716253434988
93	(0)	(97)	97	9409	.01030927835051546391	.95782092551304981379
94	(0)	(96)	96	9216	.01041666666666666666	.96823759217971648045
95	(0)	(96)	96	9216	.01041666666666666666	.97865425884638314711
96	(0)	(97)	97	9409	.01030927835051546391	.98896353719689861102
97	(0)	(95)	95	9025	.01052631578947368421	.99948985298637229523
98	(0)	(97)	97	9409	.01030927835051546391	1.00979913133688775914
99	(0)	(97)	97	9409	.01030927835051546391	1.02010840968740322305
100	(0)	(98)	98	9604	.01020408163265306122	1.03031249132005628427
101	(0)	(99)	99	9801	.01010101010101010101	1.04041350142106638528
102	(0)	(99)	99	9801	.01010101010101010101	1.05051451152207648629
103	(0)	(99)	99	9801	.01010101010101010101	1.06061552162308658730
104	(0)	(99)	99	9801	.01010101010101010101	1.07071653172409668831
105	(0)	(98)	98	9604	.01020408163265306122	1.08092061335674974953
106	(0)	(98)	98	9604	.01020408163265306122	1.09112469498940281075
107	(0)	(97)	97	9409	.01030927835051546391	1.10143397333991827466
108	(0)	(96)	96	9216	.01041666666666666666	1.11185064000658494132
109	(0)	(97)	97	9409	.01030927835051546391	1.12215991835710040523
110	(0)	(96)	96	9216	.01041666666666666666	1.13257658502376707189
111	(0)	(96)	96	9216	.01041666666666666666	1.14299325169043373855
112	(0)	(96)	96	9216	.01041666666666666666	1.15340991835710040521
113	(0)	(95)	95	9025	.01052631578947368421	1.16393623414657408942
114	(0)	(96)	96	9216	.01041666666666666666	1.17435290081324075608
115	(0)	(97)	97	9409	.01030927835051546391	1.18466217916375621999
116	(0)	(98)	98	9604	.01020408163265306122	1.19486626079640928121
117	(0)	(99)	99	9801	.01010101010101010101	1.20496727089741938222
118	(0)	(99)	99	9801	.01010101010101010101	1.21506828099842948323
119	(0)	(99)	99	9801	.01010101010101010101	1.22516929109943958424
120	(0)	(99)	99	9801	.01010101010101010101	1.23527030120044968525
121	(0)	(99)	99	9801	.01010101010101010101	1.24537131130145978626
122	(0)	(98)	98	9604	.01020408163265306122	1.25557539293411284748
123	(0)	(97)	97	9409	.01030927835051546391	1.26588467128462831139
