exp,smape,avgdiff,duration
301_hpc-single-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 5.784%,28.73061056105610561056, 557
302_hpc-single-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 5.823%,25.85024752475247524752, 555
303_hpc-single-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 5.842%,29.33333333333333333333, 557
304_hpc-single-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 5.857%,26.82838283828382838283, 556
305_hpc-single-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 5.803%,26.51320132013201320132, 557
306_uninet-single-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 0.398%,30.98677248677248677248, 3747
307_uninet-single-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 0.383%,31.29993386243386243386, 3749
308_uninet-single-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 0.388%,31.43584656084656084656, 3746
309_uninet-single-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 0.387%,32.16567460317460317460, 3748
310_uninet-single-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 0.386%,30.86342592592592592592, 3750
311_hpc-multi-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 0.396%,84.99793729372937293729, 300
312_hpc-multi-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 0.724%,100.36344884488448844884, 446
313_hpc-multi-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 0.718%,114.43275577557755775577, 528
314_hpc-multi-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 1.544%,148.85437293729372937293, 1176
315_hpc-multi-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 1.730%,250.44801980198019801980, 3915
316_hpc-single-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 5.859%,20.71163366336633663366, 164
317_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 5.851%,21.10066006600660066006, 165
318_hpc-single-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 5.860%,21.08085808580858085808, 165
319_hpc-single-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 5.859%,20.55445544554455445544, 165
320_hpc-single-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 5.852%,20.19513201320132013201, 164
321_uninet-single-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 0.460%,25.60846560846560846560, 257
322_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.458%,25.84160052910052910052, 257
323_uninet-single-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 0.464%,25.98941798941798941798, 256
324_uninet-single-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 0.463%,25.82275132275132275132, 256
325_uninet-single-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 0.467%,26.47387566137566137566, 257
