exp,smape,duration
352_hpc-single-s10-b1-h1-ps-pcl03-pch5-pm1-pd0-ps1, 5.607%, 222
353_hpc-single-s10-b1-h1-ps-pcl05-pch5-pm1-pd0-ps1, 5.631%, 324
354_hpc-single-s10-b1-h1-ps-pcl07-pch5-pm1-pd0-ps1, 6.096%, 734
355_uninet-single-s10-b1-h1-ps-pcl03-pch5-pm1-pd0-ps1, 0.187%, 283
356_uninet-single-s10-b1-h1-ps-pcl05-pch5-pm1-pd0-ps1, 0.288%, 728
357_uninet-single-s10-b1-h1-ps-pcl07-pch5-pm1-pd0-ps1, 0.648%, 3753
358_hpc-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 5.669%, 173
359_hpc-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 5.605%, 252
360_hpc-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 6.088%, 899
361_uninet-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 0.178%, 256
362_uninet-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 0.273%, 659
363_uninet-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 0.732%, 4964
364_hpc-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 5.519%, 172
365_hpc-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 5.544%, 243
366_hpc-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 5.900%, 1560
367_uninet-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 0.168%, 246
368_uninet-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 0.215%, 717
369_uninet-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 0.535%, 8055
370_hpc-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 5.584%, 170
371_hpc-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 5.537%, 229
372_hpc-single-s10-b1-h1-ps-pcl07-pch100-pm1-pd0-ps1, 5.712%, 2423
373_uninet-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 0.170%, 247
374_uninet-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 0.192%, 1319
