exp,smape,duration
001_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.526%,25.75412541254125412541, 150
002_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.917%,13.54414191419141914191, 149
003_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.698%,12.49298679867986798679, 150
004_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.976%,11.57962046204620462046, 149
005_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.249%,11.33168316831683168316, 149
006_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.933%,11.50577557755775577557, 149
007_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.202%,14.57095709570957095709, 152
008_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.128%,17.71493399339933993399, 155
009_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.872%,13.92863036303630363036, 150
010_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.837%,14.19100660066006600660, 151
011_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.835%,14.02186468646864686468, 153
012_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.191%,11.32755775577557755775, 152
013_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.432%,11.22772277227722772277, 153
014_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.356%,11.07013201320132013201, 156
015_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.020%,17.70403439153439153439, 217
016_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.369%,15.09126984126984126984, 218
017_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.291%,14.00925925925925925925, 218
018_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.284%,13.50231481481481481481, 218
019_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.317%,12.99206349206349206349, 218
020_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.293%,13.11739417989417989417, 219
021_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.305%,13.65806878306878306878, 222
022_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.317%,14.49834656084656084656, 227
023_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.372%,15.08002645502645502645, 219
024_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.375%,14.88558201058201058201, 221
025_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.374%,14.52248677248677248677, 222
026_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.327%,13.28042328042328042328, 220
027_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.319%,13.08068783068783068783, 224
028_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.323%,13.13955026455026455026, 228
029_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.056%,51.97772277227722772277, 172
030_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.502%,29.12169966996699669966, 173
031_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.529%,26.30693069306930693069, 174
032_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.144%,25.82384488448844884488, 172
033_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.191%,24.48886138613861386138, 173
034_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 4.926%,25.85272277227722772277, 173
035_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 2.502%,30.60561056105610561056, 175
036_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.641%,36.05363036303630363036, 179
037_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.492%,29.44636963696369636963, 174
038_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.522%,28.77103960396039603960, 173
039_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.503%,29.77516501650165016501, 175
040_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.646%,24.50577557755775577557, 173
041_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.438%,24.45668316831683168316, 176
042_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.078%,25.01608910891089108910, 176
043_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.862%,37.36805555555555555555, 244
044_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.325%,31.85416666666666666666, 246
045_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.294%,29.18187830687830687830, 246
046_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.307%,29.78174603174603174603, 246
047_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.325%,28.24007936507936507936, 246
048_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.305%,28.13392857142857142857, 248
049_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.316%,29.29265873015873015873, 249
050_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.330%,31.59953703703703703703, 254
051_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.334%,32.92526455026455026455, 247
052_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.333%,32.82043650793650793650, 247
053_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.326%,32.10449735449735449735, 249
054_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.343%,29.83134920634920634920, 247
055_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.344%,30.08333333333333333333, 250
056_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.343%,29.66137566137566137566, 254
057_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.710%,106.17491749174917491749, 213
058_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.906%,64.50701320132013201320, 215
059_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.221%,58.39810231023102310231, 216
060_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.981%,57.87665016501650165016, 215
061_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 5.404%,55.90222772277227722772, 215
062_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.779%,56.33292079207920792079, 215
063_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.424%,64.97689768976897689768, 217
064_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.253%,72.89315181518151815181, 221
065_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 4.220%,64.12211221122112211221, 215
066_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 3.983%,66.01113861386138613861, 215
067_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 4.145%,65.13077557755775577557, 216
068_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 5.634%,53.54166666666666666666, 215
069_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 5.578%,55.26113861386138613861, 216
070_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 5.600%,55.71204620462046204620, 219
071_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.642%,79.29861111111111111111, 297
072_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.329%,69.80125661375661375661, 299
073_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.312%,64.87235449735449735449, 299
074_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.322%,65.43948412698412698412, 299
075_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.343%,63.83167989417989417989, 299
076_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.325%,63.41269841269841269841, 299
077_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.334%,65.44212962962962962962, 302
078_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.341%,68.51884920634920634920, 307
079_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.331%,71.38293650793650793650, 299
080_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.339%,75.55125661375661375661, 300
081_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.339%,74.01686507936507936507, 300
082_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.365%,72.21197089947089947089, 300
083_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.364%,72.23710317460317460317, 302
084_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.367%,72.81646825396825396825, 305
085_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.160%,223.33209570957095709570, 295
086_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.061%,141.96369636963696369636, 298
087_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.838%,135.38531353135313531353, 299
088_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.675%,138.28217821782178217821, 298
089_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.355%,127.38036303630363036303, 299
090_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.030%,129.99587458745874587458, 299
091_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 1.696%,143.10726072607260726072, 301
092_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.924%,151.61839933993399339933, 304
093_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 2.912%,146.98762376237623762376, 298
094_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 2.590%,145.95833333333333333333, 299
095_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 2.609%,145.19843234323432343234, 299
096_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 3.876%,132.07219471947194719471, 299
097_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 4.188%,130.47772277227722772277, 300
098_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 4.055%,128.21947194719471947194, 301
099_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.496%,169.47685185185185185185, 401
100_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.331%,150.65046296296296296296, 402
101_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.328%,144.90443121693121693121, 402
102_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.340%,146.03869047619047619047, 402
103_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.349%,141.07175925925925925925, 403
104_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.337%,139.79695767195767195767, 402
105_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.349%,147.73379629629629629629, 405
106_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.355%,154.16369047619047619047, 411
107_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.339%,154.13128306878306878306, 402
108_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.343%,162.80952380952380952380, 403
109_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.344%,167.31018518518518518518, 404
110_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.365%,162.48015873015873015873, 402
111_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.372%,168.87070105820105820105, 405
112_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.368%,168.64649470899470899470, 409
113_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.503%,473.06311881188118811881, 462
114_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.574%,325.99298679867986798679, 465
115_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.969%,319.02929042904290429042, 465
116_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.603%,324.64727722772277227722, 464
117_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.237%,298.95709570957095709570, 465
118_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.227%,305.71740924092409240924, 469
119_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.954%,335.17986798679867986798, 468
120_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.512%,325.24216171617161716171, 473
121_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 1.536%,328.10767326732673267326, 468
122_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 1.588%,334.88820132013201320132, 465
123_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 1.410%,332.96328382838283828382, 466
124_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 2.316%,309.30528052805280528052, 465
125_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 2.382%,314.36344884488448844884, 468
126_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 2.259%,322.11303630363036303630, 467
127_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.427%,349.85350529100529100529, 608
128_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.334%,319.51322751322751322751, 608
129_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.342%,320.49470899470899470899, 608
130_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.350%,325.62466931216931216931, 608
131_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.353%,313.71560846560846560846, 609
132_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.343%,306.73677248677248677248, 609
133_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.356%,323.11706349206349206349, 611
134_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.353%,326.62400793650793650793, 617
135_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.335%,323.30257936507936507936, 608
136_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.337%,333.74801587301587301587, 608
137_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.338%,337.75198412698412698412, 609
138_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.360%,338.34788359788359788359, 606
139_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.358%,335.45337301587301587301, 610
140_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.361%,336.96593915343915343915, 614
141_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.953%,384.44884488448844884488, 546
142_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.477%,505.87004950495049504950, 656
143_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 1.278%,626.98102310231023102310, 762
144_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.810%,904.06064356435643564356, 981
145_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.586%,1160.06146864686468646864, 1182
146_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.438%,1429.71369636963696369636, 1413
147_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.385%,2624.98267326732673267326, 2273
148_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.351%,396.76421957671957671957, 715
149_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.348%,511.34656084656084656084, 845
150_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 0.340%,613.51455026455026455026, 981
151_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.335%,842.86342592592592592592, 1243
152_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.323%,1063.11772486772486772486, 1502
153_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.316%,1288.13756613756613756613, 1779
154_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.297%,2148.67294973544973544973, 2847
155_hpc-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 5.484%,6.42409240924092409240, 167
156_uninet-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.168%,6.38756613756613756613, 235
157_hpc-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 5.609%,8.83663366336633663366, 152
158_uninet-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 0.265%,9.67724867724867724867, 225
159_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.374%,71.44513201320132013201, 246
160_hpc-multi-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.405%,77.81270627062706270627, 175
161_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.331%,140.67986798679867986798, 273
162_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.320%,286.81765676567656765676, 328
163_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps8, 0.326%,608.15140264026402640264, 445
164_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.339%,1277.14191419141914191419, 678
165_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.343%,1608.85849834983498349834, 800
166_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.350%,2049.03465346534653465346, 950
167_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps3, 0.354%,2492.71988448844884488448, 1096
168_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.360%,3395.69471947194719471947, 1406
169_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps5, 0.370%,4324.18110561056105610561, 1696
170_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps6, 0.371%,5220.61303630363036303630, 2024
171_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.390%,9091.65305280528052805280, 3206
