counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(73)	73	5329	.01369863013698630136	.01369863013698630136
2	(0)	(93)	93	8649	.01075268817204301075	.02445131830902931211
3	(0)	(98)	98	9604	.01020408163265306122	.03465539994168237333
4	(0)	(99)	99	9801	.01010101010101010101	.04475641004269247434
5	(0)	(99)	99	9801	.01010101010101010101	.05485742014370257535
6	(0)	(99)	99	9801	.01010101010101010101	.06495843024471267636
7	(0)	(99)	99	9801	.01010101010101010101	.07505944034572277737
8	(0)	(99)	99	9801	.01010101010101010101	.08516045044673287838
9	(0)	(99)	99	9801	.01010101010101010101	.09526146054774297939
10	(0)	(99)	99	9801	.01010101010101010101	.10536247064875308040
11	(91),(91)	(99),(98)	15	71821	.00020885256401331087	.10557132321276639127
12	(91),(91)	(98),(94)	10	69946	.00014296743201898607	.10571429064478537734
13	(91),(91)	(94),(96)	8	69194	.00011561696100817989	.10582990760579355723
14	(91),(91)	(96),(98)	12	70690	.00016975526948649030	.10599966287528004753
15	(91),(91)	(98),(99)	15	71821	.00020885256401331087	.10620851543929335840
16	(91),(91)	(99),(99)	16	72200	.00022160664819944598	.10643012208749280438
17	(91),(91)	(99),(99)	16	72200	.00022160664819944598	.10665172873569225036
18	(91),(91)	(99),(99)	16	72200	.00022160664819944598	.10687333538389169634
19	(91),(91)	(99),(99)	16	72200	.00022160664819944598	.10709494203209114232
20	(91),(99)	(99),(99)	8	75304	.00010623605651758206	.10720117808860872438
21	(91),(99)	(99),(99)	8	75304	.00010623605651758206	.10730741414512630644
22	(99),(91)	(99),(99)	8	75304	.00010623605651758206	.10741365020164388850
23	(91),(99)	(99),(99)	8	75304	.00010623605651758206	.10751988625816147056
24	(91),(99)	(99),(98)	9	74909	.00012014577687594281	.10764003203503741337
25	(91),(99)	(98),(97)	9	74137	.00012139687335608400	.10776142890839349737
26	(91),(99)	(97),(95)	10	72980	.00013702384214853384	.10789845275054203121
27	(91),(99)	(95),(96)	7	72621	.00009639085113121548	.10799484360167324669
28	(91),(99)	(96),(96)	8	72994	.00010959804915472504	.10810444165082797173
29	(91),(99)	(96),(96)	8	72994	.00010959804915472504	.10821403969998269677
30	(91),(99)	(96),(96)	8	72994	.00010959804915472504	.10832363774913742181
31	(91),(99)	(96),(95)	9	72605	.00012395840506852145	.10844759615420594326
32	(91),(99)	(95),(94)	9	71845	.00012526967777855104	.10857286583198449430
33	(91),(99)	(94),(95)	7	71861	.00009741027817592296	.10867027611016041726
34	(91),(99)	(95),(97)	6	73012	.00008217827206486604	.10875245438222528330
35	(99),(98)	(97),(99)	3	77225	.00003884752347037876	.10879130190569566206
36	(91),(99)	(99),(99)	8	75304	.00010623605651758206	.10889753796221324412
37	(91),(99)	(99),(99)	8	75304	.00010623605651758206	.10900377401873082618
38	(91),(99)	(99),(99)	8	75304	.00010623605651758206	.10911001007524840824
39	(91),(99)	(99),(98)	9	74909	.00012014577687594281	.10923015585212435105
40	(91),(99)	(98),(97)	9	74137	.00012139687335608400	.10935155272548043505
41	(91),(99)	(97),(97)	8	73760	.00010845986984815618	.10946001259532859123
42	(91),(99)	(97),(97)	8	73760	.00010845986984815618	.10956847246517674741
43	(98),(97)	(97),(97)	1	75661	.00001321684883889982	.10958168931401564723
44	(98),(97)	(97),(96)	2	75274	.00002656959906475011	.10960825891308039734
45	(98),(97)	(96),(96)	3	74885	.00004006142752220070	.10964832034060259804
46	(91),(99)	(96),(97)	7	73385	.00009538734073720787	.10974370768133980591
47	(91),(99)	(97),(96)	9	73369	.00012266761166160094	.10986637529300140685
48	(98),(97)	(96),(96)	3	74885	.00004006142752220070	.10990643672052360755
49	(91),(99)	(96),(96)	8	72994	.00010959804915472504	.11001603476967833259
50	(97),(97)	(96),(97)	1	74885	.00001335380917406690	.11002938857885239949
51	(97),(97)	(97),(98)	1	75661	.00001321684883889982	.11004260542769129931
52	(97),(97)	(98),(99)	3	76441	.00003924595439620099	.11008185138208750030
53	(97),(97)	(99),(99)	4	76832	.00005206164098292378	.11013391302307042408
54	(97),(97)	(99),(99)	4	76832	.00005206164098292378	.11018597466405334786
55	(97),(97)	(99),(99)	4	76832	.00005206164098292378	.11023803630503627164
56	(97),(97)	(99),(98)	3	76441	.00003924595439620099	.11027728225943247263
57	(97),(97)	(98),(98)	2	76050	.00002629848783694937	.11030358074726942200
58	(97),(97)	(98),(96)	2	75274	.00002656959906475011	.11033015034633417211
59	(97),(97)	(96),(97)	1	74885	.00001335380917406690	.11034350415550823901
60	(97),(97)	(97),(97)	0	75272	0	.11034350415550823901
61	(97),(98)	(97),(96)	2	75272	.00002657030502710171	.11037007446053534072
62	(97),(97)	(96),(96)	2	74498	.00002684635829149775	.11039692081882683847
63	(97),(98)	(96),(96)	3	74885	.00004006142752220070	.11043698224634903917
64	(97),(97)	(96),(95)	3	74113	.00004047872842821097	.11047746097477725014
65	(97),(97)	(95),(97)	2	74500	.00002684563758389261	.11050430661236114275
66	(97),(98)	(97),(97)	1	75661	.00001321684883889982	.11051752346120004257
67	(97),(98)	(97),(98)	0	76052	0	.11051752346120004257
68	(97),(98)	(98),(99)	2	76834	.00002603014290548455	.11054355360410552712
69	(97),(97)	(99),(99)	4	76832	.00005206164098292378	.11059561524508845090
70	(98),(97)	(99),(99)	3	77225	.00003884752347037876	.11063446276855882966
71	(97),(97)	(99),(99)	4	76832	.00005206164098292378	.11068652440954175344
72	(97),(98)	(99),(98)	2	76832	.00002603082049146189	.11071255523003321533
73	(98),(97)	(98),(98)	1	76441	.00001308198479873366	.11072563721483194899
74	(98),(97)	(98),(97)	0	76052	0	.11072563721483194899
75	(97),(97)	(97),(96)	1	74885	.00001335380917406690	.11073899102400601589
76	(97),(97)	(96),(96)	2	74498	.00002684635829149775	.11076583738229751364
77	(97),(97)	(96),(96)	2	74498	.00002684635829149775	.11079268374058901139
78	(97),(98)	(96),(96)	3	74885	.00004006142752220070	.11083274516811121209
79	(97),(98)	(96),(96)	3	74885	.00004006142752220070	.11087280659563341279
80	(97),(97)	(96),(96)	2	74498	.00002684635829149775	.11089965295392491054
81	(97),(97)	(96),(97)	1	74885	.00001335380917406690	.11091300676309897744
82	(97),(98)	(97),(97)	1	75661	.00001321684883889982	.11092622361193787726
83	(97),(98)	(97),(99)	1	76445	.00001308130028124795	.11093930491221912521
84	(97),(98)	(99),(99)	3	77225	.00003884752347037876	.11097815243568950397
85	(97),(97)	(99),(99)	4	76832	.00005206164098292378	.11103021407667242775
86	(97),(97)	(99),(99)	4	76832	.00005206164098292378	.11108227571765535153
87	(97),(98)	(99),(99)	3	77225	.00003884752347037876	.11112112324112573029
88	(97),(98)	(99),(98)	2	76832	.00002603082049146189	.11114715406161719218
89	(97),(98)	(98),(98)	1	76441	.00001308198479873366	.11116023604641592584
90	(98),(97)	(98),(97)	0	76052	0	.11116023604641592584
91	(97),(98)	(97),(97)	1	75661	.00001321684883889982	.11117345289525482566
92	(98),(97)	(97),(97)	1	75661	.00001321684883889982	.11118666974409372548
93	(98),(97)	(97),(96)	2	75274	.00002656959906475011	.11121323934315847559
94	(98),(98)	(96),(96)	4	75272	.00005314061005420342	.11126637995321267901
95	(97),(97)	(96),(97)	1	74885	.00001335380917406690	.11127973376238674591
96	(97),(97)	(97),(95)	2	74500	.00002684563758389261	.11130657939997063852
97	(97),(98)	(95),(97)	3	74889	.00004005928774586387	.11134663868771650239
98	(97),(98)	(97),(97)	1	75661	.00001321684883889982	.11135985553655540221
99	(97),(98)	(97),(98)	0	76052	0	.11135985553655540221
100	(97),(97)	(98),(99)	3	76441	.00003924595439620099	.11139910149095160320
101	(98),(97)	(99),(99)	3	77225	.00003884752347037876	.11143794901442198196
102	(97),(98)	(99),(99)	3	77225	.00003884752347037876	.11147679653789236072
103	(98),(98)	(99),(99)	2	77618	.00002576721894405936	.11150256375683642008
104	(98),(97)	(99),(98)	2	76834	.00002603014290548455	.11152859389974190463
105	(97),(98)	(98),(98)	1	76441	.00001308198479873366	.11154167588454063829
106	(98),(97)	(98),(97)	0	76052	0	.11154167588454063829
107	(98),(98)	(97),(96)	3	75661	.00003965054651669948	.11158132643105733777
