exp,smape,duration
001_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.526%, 150
002_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.917%, 149
003_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.698%, 150
004_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.976%, 149
005_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.249%, 149
006_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.933%, 149
007_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.202%, 152
008_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.128%, 155
009_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.872%, 150
010_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.837%, 151
011_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.835%, 153
012_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.191%, 152
013_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.432%, 153
014_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.356%, 156
015_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.020%, 217
016_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.369%, 218
017_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.291%, 218
018_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.284%, 218
019_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.317%, 218
020_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.293%, 219
021_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.305%, 222
022_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.317%, 227
023_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.372%, 219
024_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.375%, 221
025_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.374%, 222
026_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.327%, 220
027_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.319%, 224
028_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.323%, 228
029_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.056%, 172
030_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.502%, 173
031_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.529%, 174
032_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.144%, 172
033_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.191%, 173
034_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 4.926%, 173
035_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 2.502%, 175
036_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.641%, 179
037_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.492%, 174
038_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.522%, 173
039_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.503%, 175
040_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.646%, 173
041_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.438%, 176
042_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.078%, 176
043_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.862%, 244
044_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.325%, 246
045_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.294%, 246
046_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.307%, 246
047_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.325%, 246
048_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.305%, 248
049_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.316%, 249
050_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.330%, 254
051_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.334%, 247
052_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.333%, 247
053_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.326%, 249
054_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.343%, 247
055_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.344%, 250
056_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.343%, 254
057_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.710%, 213
058_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.906%, 215
059_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.221%, 216
060_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.981%, 215
061_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 5.404%, 215
062_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.779%, 215
063_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.424%, 217
064_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.253%, 221
065_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 4.220%, 215
066_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 3.983%, 215
067_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 4.145%, 216
068_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 5.634%, 215
069_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 5.578%, 216
070_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 5.600%, 219
071_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.642%, 297
072_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.329%, 299
073_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.312%, 299
074_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.322%, 299
075_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.343%, 299
076_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.325%, 299
077_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.334%, 302
078_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.341%, 307
079_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.331%, 299
080_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.339%, 300
081_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.339%, 300
082_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.365%, 300
083_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.364%, 302
084_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.367%, 305
085_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.160%, 295
086_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.061%, 298
087_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.838%, 299
088_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.675%, 298
089_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.355%, 299
090_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.030%, 299
091_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 1.696%, 301
092_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.924%, 304
093_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 2.912%, 298
094_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 2.590%, 299
095_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 2.609%, 299
096_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 3.876%, 299
097_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 4.188%, 300
098_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 4.055%, 301
099_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.496%, 401
100_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.331%, 402
101_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.328%, 402
102_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.340%, 402
103_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.349%, 403
104_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.337%, 402
105_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.349%, 405
106_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.355%, 411
107_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.339%, 402
